Window,Num threads,Num Variables,Num locks,Num unique good writes,Estimate Cost,Estimate Time Taken,Num mmaps,Max stack size,Max seen size,Node explored,Node seen before,Time taken (sec),Window result,Window Size
91,1,5,1,4,99,0.039,9,1,10,99,0,0.04,true,10
92,1,3,1,3,99,0.038,9,1,10,99,0,0.04,true,10
93,1,5,1,4,99,0.038,9,1,10,99,0,0.04,true,10
94,1,4,1,5,99,0.038,9,1,10,99,0,0.04,true,10
95,1,3,1,4,99,0.038,9,1,10,99,0,0.039,true,10
96,1,5,1,4,99,0.038,9,1,10,99,0,0.04,true,10
97,2,6,0,6,99,0.038,9,10,51,468,41,0.047,true,10
98,1,3,1,4,99,0.039,9,1,10,99,0,0.041,true,10
99,1,3,1,3,99,0.039,9,1,10,99,0,0.04,true,10
100,1,4,1,4,99,0.038,9,1,10,99,0,0.04,true,10
101,1,3,1,2,99,0.039,9,1,10,99,0,0.041,true,10
102,1,4,1,4,99,0.041,9,1,10,99,0,0.043,true,10
103,1,4,1,3,99,0.038,9,1,10,99,0,0.04,true,10
104,1,3,1,2,99,0.039,9,1,10,99,0,0.04,true,10
105,1,5,1,5,99,0.037,9,1,10,99,0,0.039,true,10
106,2,4,0,4,99,0.038,9,10,51,468,41,0.047,true,10
107,1,3,0,3,99,0.037,9,1,10,99,0,0.038,true,10
108,1,2,0,2,99,0.037,9,1,10,99,0,0.039,true,10
109,1,2,0,2,99,0.037,9,1,10,99,0,0.038,true,10
110,1,3,0,3,99,0.037,9,1,10,99,0,0.039,true,10
111,1,1,0,1,99,0.037,9,1,10,99,0,0.038,true,10
112,1,3,0,3,99,0.037,9,1,10,99,0,0.039,true,10
113,1,1,0,1,99,0.037,9,1,10,99,0,0.039,true,10
114,1,2,0,2,99,0.037,9,1,10,99,0,0.039,true,10
115,1,1,0,1,99,0.037,9,1,10,99,0,0.039,true,10
116,1,3,0,3,99,0.037,9,1,10,99,0,0.038,true,10
117,1,2,0,2,99,0.038,9,1,10,99,0,0.039,true,10
118,1,1,0,1,99,0.037,9,1,10,99,0,0.038,true,10
119,1,2,0,2,99,0.038,9,1,10,99,0,0.039,true,10
120,1,2,0,2,99,0.037,9,1,10,99,0,0.039,true,10
121,1,1,0,1,99,0.037,9,1,10,99,0,0.038,true,10
122,1,1,0,1,99,0.037,9,1,10,99,0,0.039,true,10
123,1,2,0,2,99,0.037,9,1,10,99,0,0.039,true,10
124,1,1,0,1,99,0.037,9,1,10,99,0,0.039,true,10
125,1,2,0,2,99,0.037,9,1,10,99,0,0.039,true,10
126,1,1,0,1,99,0.037,9,1,10,99,0,0.039,true,10
127,1,2,0,2,99,0.037,9,1,10,99,0,0.039,true,10
128,1,2,0,2,99,0.037,9,1,10,99,0,0.039,true,10
129,1,2,0,2,99,0.037,9,1,10,99,0,0.038,true,10
130,1,1,0,1,99,0.037,9,1,10,99,0,0.039,true,10
131,1,2,0,2,99,0.038,9,1,10,99,0,0.039,true,10
132,1,2,0,2,99,0.038,9,1,10,99,0,0.04,true,10
133,1,1,0,1,99,0.037,9,1,10,99,0,0.039,true,10
134,1,2,0,2,99,0.037,9,1,10,99,0,0.039,true,10
135,1,1,0,1,99,0.036,9,1,10,99,0,0.038,true,10
136,1,2,0,2,99,0.038,9,1,10,99,0,0.039,true,10
137,1,1,0,1,99,0.038,9,1,10,99,0,0.039,true,10
138,1,1,0,1,99,0.039,9,1,10,99,0,0.04,true,10
139,1,6,0,6,99,0.037,9,1,10,99,0,0.039,true,10
140,1,3,1,4,99,0.038,9,1,10,99,0,0.04,true,10
141,1,3,1,3,99,0.039,9,1,10,99,0,0.04,true,10
142,1,3,1,3,99,0.038,9,1,10,99,0,0.039,true,10
143,1,3,1,3,99,0.041,9,1,10,99,0,0.042,true,10
144,1,3,1,3,99,0.04,9,1,10,99,0,0.041,true,10
145,1,3,1,4,99,0.04,9,1,10,99,0,0.042,true,10
146,1,6,0,6,99,0.038,9,1,10,99,0,0.04,true,10
147,2,7,0,7,99,0.038,9,8,49,450,39,0.047,true,10
148,1,3,1,3,99,0.038,9,1,10,99,0,0.039,true,10
149,1,4,1,4,99,0.04,9,1,10,99,0,0.041,true,10
150,1,2,1,2,99,0.038,9,1,10,99,0,0.04,true,10
151,1,4,1,4,99,0.039,9,1,10,99,0,0.04,true,10
152,1,3,1,3,99,0.038,9,1,10,99,0,0.039,true,10
153,1,2,1,2,99,0.039,9,1,10,99,0,0.04,true,10
154,1,6,0,6,99,0.038,9,1,10,99,0,0.039,true,10
155,2,7,0,7,99,0.037,9,5,33,306,23,0.043,true,10
156,1,4,1,4,99,0.039,9,1,10,99,0,0.041,true,10
157,1,4,1,4,99,0.039,9,1,10,99,0,0.041,true,10
158,1,3,1,3,99,0.039,9,1,10,99,0,0.04,true,10
159,1,4,1,4,99,0.038,9,1,10,99,0,0.039,true,10
160,1,4,1,4,99,0.038,9,1,10,99,0,0.04,true,10
161,1,3,1,3,99,0.039,9,1,10,99,0,0.041,true,10
162,1,5,1,5,99,0.038,9,1,10,99,0,0.04,true,10
163,1,6,0,6,99,0.038,9,1,10,99,0,0.039,true,10
164,1,2,0,2,27,0.012,9,1,2,27,0,0.012,true,10
0,2,20,0,0,21,0.056,1,2,229,230,0,0.058,true,20
1,1,20,0,15,420,0.072,20,1,20,420,0,0.078,true,20
2,2,14,1,12,640,0.076,20,20,201,4040,181,0.149,true,20
3,1,4,1,6,420,0.074,20,1,20,420,0,0.081,true,20
4,1,5,1,7,420,0.077,20,1,20,420,0,0.083,true,20
5,1,4,1,5,420,0.075,20,1,20,420,0,0.081,true,20
6,1,4,1,6,420,0.077,20,1,20,420,0,0.084,true,20
7,1,5,1,6,420,0.077,20,1,20,420,0,0.083,true,20
8,1,4,1,6,420,0.075,20,1,20,420,0,0.081,true,20
9,1,5,1,7,420,0.075,20,1,20,420,0,0.081,true,20
10,2,11,1,11,633.4,0.077,20,17,193,3880,173,0.148,true,20
11,2,19,0,19,435.4,0.073,20,7,103,2080,83,0.109,true,20
12,1,4,1,6,420,0.075,20,1,20,420,0,0.082,true,20
13,1,4,1,5,420,0.077,20,1,20,420,0,0.084,true,20
14,1,4,1,6,420,0.077,20,1,20,420,0,0.083,true,20
15,1,4,1,6,420,0.077,20,1,20,420,0,0.083,true,20
16,1,6,1,6,420,0.075,20,1,20,420,0,0.081,true,20
17,1,4,1,5,420,0.075,20,1,20,420,0,0.082,true,20
18,1,5,1,6,420,0.078,20,1,20,420,0,0.084,true,20
19,2,6,1,7,525.6,0.075,20,9,78,1580,54,0.103,true,20
20,1,5,1,5,420,0.074,20,1,20,420,0,0.081,true,20
21,1,5,1,5,420,0.076,20,1,20,420,0,0.083,true,20
22,1,4,1,6,420,0.076,20,1,20,420,0,0.083,true,20
23,1,6,1,8,420,0.077,20,1,20,420,0,0.083,true,20
24,1,4,1,6,420,0.077,20,1,20,420,0,0.084,true,20
25,1,4,1,6,420,0.077,20,1,20,420,0,0.083,true,20
26,2,6,1,8,591.6,0.076,20,13,139,2800,99,0.125,true,20
27,1,4,1,5,420,0.074,20,1,20,420,0,0.081,true,20
28,1,4,1,6,420,0.076,20,1,20,420,0,0.083,true,20
29,1,5,1,5,420,0.076,20,1,20,420,0,0.083,true,20
30,1,4,1,6,420,0.077,20,1,20,420,0,0.084,true,20
31,1,5,1,7,420,0.075,20,1,20,420,0,0.082,true,20
32,2,8,1,9,640,0.076,20,18,154,3100,130,0.133,true,20
33,1,5,1,6,420,0.074,20,1,20,420,0,0.081,true,20
34,1,5,1,6,420,0.076,20,1,20,420,0,0.083,true,20
35,1,5,1,6,420,0.077,20,1,20,420,0,0.083,true,20
36,1,4,1,6,420,0.074,20,1,20,420,0,0.081,true,20
37,1,4,1,6,420,0.076,20,1,20,420,0,0.082,true,20
38,2,6,1,6,505.8,0.077,20,10,151,3040,131,0.139,true,20
39,1,5,1,6,420,0.083,20,1,20,420,0,0.09,true,20
40,1,7,1,7,420,0.075,20,1,20,420,0,0.082,true,20
41,1,5,1,6,420,0.079,20,1,20,420,0,0.086,true,20
42,1,5,1,5,420,0.076,20,1,20,420,0,0.083,true,20
43,2,8,1,9,399,0.077,19,3,39,760,19,0.09,true,20
44,1,5,1,6,399,0.074,19,1,20,399,0,0.08,true,20
45,1,7,1,8,399,0.074,19,1,20,399,0,0.08,true,20
46,1,6,1,7,399,0.075,19,1,20,399,0,0.082,true,20
47,1,5,1,7,399,0.074,19,1,20,399,0,0.08,true,20
48,2,11,1,10,486.78,0.077,19,11,151,2888,131,0.129,true,20
49,1,6,1,7,399,0.074,19,1,20,399,0,0.08,true,20
50,1,5,1,6,399,0.074,19,1,20,399,0,0.081,true,20
51,1,6,1,7,399,0.074,19,1,20,399,0,0.08,true,20
52,1,7,1,6,399,0.074,19,1,20,399,0,0.081,true,20
53,2,6,0,6,480.51,0.078,19,10,151,2888,131,0.129,true,20
54,1,3,0,3,399,0.072,19,1,20,399,0,0.078,true,20
55,1,3,0,3,399,0.075,19,1,20,399,0,0.081,true,20
56,1,3,0,3,399,0.074,19,1,20,399,0,0.08,true,20
57,1,2,0,2,399,0.075,19,1,20,399,0,0.081,true,20
58,1,4,0,4,399,0.075,19,1,20,399,0,0.081,true,20
59,1,2,0,2,399,0.074,19,1,20,399,0,0.08,true,20
60,1,2,0,2,399,0.079,19,1,20,399,0,0.085,true,20
61,1,2,0,2,399,0.074,19,1,20,399,0,0.08,true,20
62,1,2,0,2,399,0.075,19,1,20,399,0,0.082,true,20
63,1,2,0,2,399,0.075,19,1,20,399,0,0.08,true,20
64,1,3,0,3,399,0.075,19,1,20,399,0,0.081,true,20
65,1,2,0,2,399,0.075,19,1,20,399,0,0.081,true,20
66,1,2,0,2,399,0.074,19,1,20,399,0,0.079,true,20
67,1,2,0,2,399,0.074,19,1,20,399,0,0.079,true,20
68,1,2,0,2,399,0.075,19,1,20,399,0,0.08,true,20
69,2,7,0,7,608,0.076,19,20,201,3838,181,0.145,true,20
70,1,5,1,6,399,0.076,19,1,20,399,0,0.082,true,20
71,1,5,1,5,399,0.074,19,1,20,399,0,0.08,true,20
72,1,5,1,7,399,0.074,19,1,20,399,0,0.08,true,20
73,2,12,0,12,541.12,0.075,19,13,169,3230,149,0.133,true,20
74,1,6,1,6,399,0.076,19,1,20,399,0,0.082,true,20
75,1,5,1,6,399,0.076,19,1,20,399,0,0.082,true,20
76,1,4,1,5,399,0.076,19,1,20,399,0,0.082,true,20
77,2,12,0,12,399,0.073,19,5,73,1406,53,0.097,true,20
78,1,7,1,8,399,0.073,19,1,20,399,0,0.079,true,20
79,1,6,1,7,399,0.074,19,1,20,399,0,0.08,true,20
80,1,5,1,6,399,0.076,19,1,20,399,0,0.082,true,20
81,1,10,1,10,399,0.076,19,1,20,399,0,0.081,true,20
82,1,2,0,2,57,0.015,19,1,2,57,0,0.016,true,20
0,2,25,0,5,31,0.089,1,2,478,479,4,0.095,true,30
1,2,24,1,21,1545,0.11,25,21,401,10050,371,0.301,true,30
2,1,5,1,8,775,0.109,25,1,30,775,0,0.121,true,30
3,1,6,1,7,775,0.108,25,1,30,775,0,0.12,true,30
4,1,6,1,9,775,0.109,25,1,30,775,0,0.12,true,30
5,1,6,1,9,775,0.11,25,1,30,775,0,0.121,true,30
6,1,6,1,9,775,0.108,25,1,30,775,0,0.119,true,30
7,3,25,1,25,863,0.11,25,13,636,15925,1006,0.488,true,30
8,1,5,1,8,775,0.111,25,1,30,775,0,0.122,true,30
9,1,6,1,9,775,0.109,25,1,30,775,0,0.121,true,30
10,1,7,1,10,775,0.109,25,1,30,775,0,0.121,true,30
11,1,5,1,9,775,0.122,25,1,30,775,0,0.133,true,30
12,2,8,1,9,385.25,0.058,25,6,148,3725,100,0.127,true,30
13,1,6,1,8,775,0.109,25,1,30,775,0,0.12,true,30
14,1,6,1,8,775,0.11,25,1,30,775,0,0.122,true,30
15,1,7,1,10,775,0.109,25,1,30,775,0,0.121,true,30
16,1,5,1,9,775,0.112,25,1,30,775,0,0.124,true,30
17,2,7,1,10,838.25,0.111,25,14,259,6500,189,0.231,true,30
18,1,6,1,8,775,0.108,25,1,30,775,0,0.12,true,30
19,1,8,1,8,775,0.109,25,1,30,775,0,0.121,true,30
20,1,6,1,8,775,0.11,25,1,30,775,0,0.122,true,30
21,2,9,1,11,471.5,0.076,25,18,281,7050,223,0.209,true,30
22,1,6,1,9,775,0.109,25,1,30,775,0,0.12,true,30
23,1,7,1,9,775,0.111,25,1,30,775,0,0.122,true,30
24,1,6,1,9,775,0.11,25,1,30,775,0,0.122,true,30
25,2,9,1,10,1718.5,0.11,25,21,342,8575,278,0.272,true,30
26,1,8,1,10,775,0.109,25,1,30,775,0,0.121,true,30
27,1,8,1,7,775,0.109,25,1,30,775,0,0.121,true,30
28,1,6,1,8,775,0.11,25,1,30,775,0,0.121,true,30
29,2,11,1,12,1468,0.111,25,18,379,9500,349,0.292,true,30
30,1,8,1,9,775,0.109,25,1,30,775,0,0.121,true,30
31,1,8,1,9,775,0.109,25,1,30,775,0,0.121,true,30
32,2,13,1,13,1853,0.111,25,30,400,10025,368,0.301,true,30
33,1,7,1,9,775,0.109,25,1,30,775,0,0.12,true,30
34,1,7,1,9,775,0.11,25,1,30,775,0,0.121,true,30
35,2,11,1,11,1831,0.111,25,30,451,11300,421,0.325,true,30
36,1,5,0,5,775,0.106,25,1,30,775,0,0.117,true,30
37,1,4,0,4,775,0.107,25,1,30,775,0,0.118,true,30
38,1,4,0,4,775,0.107,25,1,30,775,0,0.118,true,30
39,1,3,0,3,775,0.108,25,1,30,775,0,0.119,true,30
40,1,2,0,2,775,0.107,25,1,30,775,0,0.118,true,30
41,1,3,0,3,775,0.107,25,1,30,775,0,0.118,true,30
42,1,3,0,3,775,0.109,25,1,30,775,0,0.12,true,30
43,1,3,0,3,775,0.113,25,1,30,775,0,0.124,true,30
44,1,3,0,3,775,0.106,25,1,30,775,0,0.117,true,30
45,1,2,0,2,775,0.106,25,1,30,775,0,0.116,true,30
46,2,9,1,10,1517.5,0.113,25,20,401,10050,371,0.304,true,30
47,1,7,1,8,775,0.11,25,1,30,775,0,0.122,true,30
48,1,10,1,12,775,0.11,25,1,30,775,0,0.122,true,30
49,2,12,1,12,863,0.11,25,8,209,5250,179,0.209,true,30
50,1,7,1,8,775,0.109,25,1,30,775,0,0.12,true,30
51,2,13,1,14,780.5,0.11,25,5,113,2850,83,0.159,true,30
52,1,8,1,10,775,0.109,25,1,30,775,0,0.121,true,30
53,1,7,1,9,775,0.112,25,1,30,775,0,0.123,true,30
54,1,11,1,11,575,0.084,25,1,22,575,0,0.092,true,30
0,2,25,0,15,41,0.134,1,2,728,729,4,0.146,true,40
1,2,17,1,18,2191,0.147,25,20,601,15050,561,0.439,true,40
2,1,7,1,10,1025,0.149,25,1,40,1025,0,0.166,true,40
3,1,7,1,11,1025,0.147,25,1,40,1025,0,0.164,true,40
4,1,7,1,11,1025,0.147,25,1,40,1025,0,0.162,true,40
5,3,25,1,28,3439.5,0.15,25,36,4165,104150,7459,2.75,true,40
6,1,6,1,11,1025,0.147,25,1,40,1025,0,0.163,true,40
7,1,7,1,11,1025,0.156,25,1,40,1025,0,0.171,true,40
8,1,8,1,11,1025,0.146,25,1,40,1025,0,0.161,true,40
9,2,9,1,11,1725.25,0.113,25,21,442,11075,312,0.316,true,40
10,1,9,1,10,1025,0.145,25,1,40,1025,0,0.16,true,40
11,1,8,1,12,1025,0.145,25,1,40,1025,0,0.159,true,40
12,1,7,1,12,1025,0.145,25,1,40,1025,0,0.16,true,40
13,2,10,1,13,2191,0.146,25,13,459,11500,359,0.36,true,40
14,1,9,1,10,1025,0.147,25,1,40,1025,0,0.162,true,40
15,1,8,1,10,1025,0.145,25,1,40,1025,0,0.16,true,40
16,2,12,1,15,2202,0.146,25,21,394,9875,350,0.335,true,40
17,1,9,1,12,1025,0.146,25,1,40,1025,0,0.162,true,40
18,1,8,1,11,1025,0.149,25,1,40,1025,0,0.164,true,40
19,2,10,1,12,1357.75,0.149,25,10,351,8800,311,0.318,true,40
20,1,10,1,9,1025,0.146,25,1,40,1025,0,0.161,true,40
21,2,12,1,13,1025,0.145,25,3,79,2000,39,0.178,true,40
22,1,11,1,14,1025,0.144,25,1,40,1025,0,0.159,true,40
23,1,9,1,12,1025,0.145,25,1,40,1025,0,0.161,true,40
24,2,16,1,16,3247,0.149,25,30,640,16025,598,0.462,true,40
25,1,10,1,13,1025,0.146,25,1,40,1025,0,0.161,true,40
26,2,13,1,12,3203,0.15,25,31,751,18800,711,0.51,true,40
27,1,5,0,5,1025,0.143,25,1,40,1025,0,0.157,true,40
28,1,4,0,4,1025,0.142,25,1,40,1025,0,0.156,true,40
29,1,5,0,5,1025,0.143,25,1,40,1025,0,0.158,true,40
30,1,3,0,3,1025,0.145,25,1,40,1025,0,0.159,true,40
31,1,3,0,3,1025,0.144,25,1,40,1025,0,0.158,true,40
32,1,4,0,4,1025,0.142,25,1,40,1025,0,0.156,true,40
33,1,3,0,3,1025,0.142,25,1,40,1025,0,0.156,true,40
34,2,8,0,8,2259.75,0.144,25,21,601,15050,561,0.425,true,40
35,1,9,1,10,1025,0.146,25,1,40,1025,0,0.161,true,40
36,2,16,1,17,1591.5,0.148,25,13,409,10250,369,0.343,true,40
37,1,10,1,12,1025,0.147,25,1,40,1025,0,0.162,true,40
38,2,15,1,16,1033.25,0.146,25,5,153,3850,113,0.216,true,40
39,1,11,1,14,1025,0.148,25,1,40,1025,0,0.163,true,40
40,1,14,1,16,1025,0.146,25,1,40,1025,0,0.161,true,40
41,1,2,0,2,75,0.017,25,1,2,75,0,0.019,true,40
0,2,25,0,22,51,0.152,1,2,978,979,4,0.165,true,50
1,1,10,1,15,1275,0.179,25,1,50,1275,0,0.197,true,50
2,1,9,1,14,1275,0.181,25,1,50,1275,0,0.2,true,50
3,1,9,1,13,1275,0.181,25,1,50,1275,0,0.199,true,50
4,3,25,1,29,10256.2,0.184,25,62,11372,284325,18940,7.325,true,50
5,1,9,1,15,1275,0.181,25,1,50,1275,0,0.2,true,50
6,1,9,1,13,1275,0.185,25,1,50,1275,0,0.203,true,50
7,2,10,1,13,1081,0.108,25,16,594,14875,424,0.387,true,50
8,1,10,1,13,1275,0.183,25,1,50,1275,0,0.201,true,50
9,1,9,1,12,1275,0.182,25,1,50,1275,0,0.201,true,50
10,2,11,1,15,3079,0.188,25,25,786,19675,616,0.563,true,50
11,1,12,1,14,1275,0.183,25,1,50,1275,0,0.201,true,50
12,1,10,1,13,1275,0.184,25,1,50,1275,0,0.203,true,50
13,2,12,1,16,1275,0.185,25,2,99,2500,49,0.226,true,50
14,1,10,1,14,1275,0.194,25,1,50,1275,0,0.213,true,50
15,2,13,1,15,4113,0.188,25,21,822,20575,698,0.592,true,50
16,1,11,1,10,1275,0.183,25,1,50,1275,0,0.202,true,50
17,2,15,1,17,5178.5,0.176,25,34,976,24425,858,0.65,true,50
18,1,13,1,16,1275,0.184,25,1,50,1275,0,0.203,true,50
19,2,17,1,20,5666.75,0.188,25,41,957,23950,869,0.65,true,50
20,1,11,1,14,1275,0.182,25,1,50,1275,0,0.2,true,50
21,2,13,1,13,4608,0.186,25,30,1051,26300,1001,0.709,true,50
22,1,7,0,7,1275,0.179,25,1,50,1275,0,0.197,true,50
23,1,5,0,5,1275,0.178,25,1,50,1275,0,0.196,true,50
24,1,3,0,3,1275,0.178,25,1,50,1275,0,0.195,true,50
25,1,5,0,5,1275,0.179,25,1,50,1275,0,0.195,true,50
26,1,4,0,4,1275,0.177,25,1,50,1275,0,0.195,true,50
27,2,8,0,8,2903,0.18,25,21,801,20050,751,0.561,true,50
28,1,11,1,13,1275,0.184,25,1,50,1275,0,0.203,true,50
29,2,19,1,19,7567,0.188,25,48,1151,28800,1069,0.746,true,50
30,1,13,1,15,1275,0.19,25,1,50,1275,0,0.21,true,50
31,2,17,1,19,2501.5,0.186,25,16,673,16850,623,0.511,true,50
32,1,15,1,17,1075,0.155,25,1,42,1075,0,0.171,true,50
0,3,25,1,22,95.27,0.111,1,20,18159,18160,17392,0.456,true,60
1,1,9,1,14,1464,0.235,24,1,60,1464,0,0.256,true,60
2,1,10,1,17,1464,0.22,24,1,60,1464,0,0.241,true,60
3,3,25,1,32,12317,0.226,24,61,10504,252120,19009,6.653,true,60
4,1,10,1,17,1464,0.211,24,1,60,1464,0,0.231,true,60
5,1,10,1,15,1464,0.207,24,1,60,1464,0,0.228,true,60
6,2,12,1,16,7400.64,0.209,24,33,1096,26328,814,0.668,true,60
7,1,12,1,17,1464,0.208,24,1,60,1464,0,0.229,true,60
8,2,12,1,19,2237.52,0.21,24,13,554,13320,390,0.444,true,60
9,1,13,1,15,1464,0.208,24,1,60,1464,0,0.229,true,60
10,2,14,1,17,578.4,0.076,24,18,665,15984,535,0.362,true,60
11,1,13,1,18,1464,0.209,24,1,60,1464,0,0.229,true,60
12,2,14,1,17,1190.88,0.111,24,23,890,21384,694,0.489,true,60
13,1,14,1,15,1464,0.209,24,1,60,1464,0,0.23,true,60
14,2,17,1,19,4858.56,0.162,24,38,1237,29712,1073,0.699,true,60
15,1,14,1,18,1464,0.208,24,1,60,1464,0,0.23,true,60
16,2,20,1,20,5550.72,0.212,24,30,1120,26904,1058,0.705,true,60
17,2,17,1,19,5856.96,0.213,24,31,1351,32448,1291,0.809,true,60
18,1,8,0,8,1464,0.209,24,1,60,1464,0,0.229,true,60
