Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result
0,2,6,1,12,1,11,331,0.002,true
1,1,6,1,12,3,1,40,0,true
2,1,6,1,13,3,1,40,0,true
3,2,6,1,13,3,18,246,0.007,true
4,2,6,1,13,3,21,248,0.007,true
5,2,6,1,14,3,18,210,0.006,true
6,2,6,1,13,3,16,188,0.005,true
7,2,6,1,11,3,13,146,0.004,true
8,2,6,1,13,3,15,153,0.004,true
9,2,6,1,12,3,9,86,0.002,true
10,2,6,1,13,3,10,188,0.005,true
11,2,6,1,12,3,12,179,0.004,true
12,2,6,1,12,3,14,157,0.004,true
13,2,6,1,11,3,8,94,0.002,true
14,2,6,1,14,3,15,163,0.004,true
15,3,6,1,11,3,16,400,0.011,true
16,3,6,1,12,3,18,173,0.005,true
17,3,6,1,12,3,12,250,0.007,true
18,3,6,1,12,3,24,652,0.022,true
19,3,6,1,11,3,18,327,0.009,true
20,3,6,1,10,3,16,548,0.018,true
21,4,6,1,10,3,21,648,0.021,true
22,4,5,1,11,3,20,373,0.012,true
23,4,5,1,10,3,27,1021,0.036,true
24,4,5,1,10,3,18,359,0.012,true
25,4,5,1,9,3,22,448,0.015,true
26,4,5,1,10,3,20,387,0.012,true
27,4,5,1,9,3,28,1487,0.052,true
28,4,6,1,11,3,17,165,0.005,true
29,4,5,1,10,3,16,188,0.006,true
30,4,6,1,11,3,14,559,0.017,true
31,4,5,1,9,3,17,520,0.016,true
32,4,5,1,11,3,16,401,0.013,true
33,4,5,1,10,3,10,346,0.01,true
34,4,5,1,10,3,15,495,0.015,true
35,4,5,1,11,3,16,423,0.013,true
36,4,5,1,10,3,14,412,0.013,true
37,4,5,1,9,3,14,441,0.013,true
38,4,5,1,9,3,14,317,0.01,true
39,4,5,1,10,3,14,223,0.007,true
40,4,5,1,10,3,16,436,0.013,true
41,4,5,1,10,3,17,487,0.015,true
42,3,5,1,9,3,15,251,0.007,true
43,4,5,1,11,3,10,342,0.01,true
44,4,5,1,9,3,18,471,0.014,true
45,3,5,1,10,3,13,258,0.007,true
46,4,5,1,10,3,13,420,0.012,true
47,4,5,1,11,3,13,294,0.008,true
48,4,5,1,10,3,17,507,0.016,true
49,4,5,1,11,3,14,223,0.007,true
50,4,5,1,10,3,13,308,0.009,true
51,4,5,1,9,3,19,576,0.019,true
52,4,5,1,11,3,18,363,0.011,true
53,4,5,1,11,3,13,138,0.004,true
54,2,5,1,13,3,6,64,0.002,true
55,4,5,1,11,3,15,295,0.009,true
56,4,6,1,11,3,19,228,0.007,true
57,4,5,1,11,3,17,174,0.006,true
58,4,6,1,11,3,10,371,0.011,true
59,4,5,1,9,3,22,702,0.023,true
60,3,5,1,11,3,13,253,0.007,true
61,4,5,1,9,3,13,381,0.012,true
62,4,5,1,9,3,14,438,0.014,true
63,4,5,1,10,3,16,409,0.013,true
64,4,5,1,11,3,10,342,0.01,true
65,4,5,1,10,3,15,498,0.015,true
66,3,5,1,8,3,16,439,0.013,true
67,4,5,1,10,3,13,420,0.013,true
68,4,5,1,8,3,14,416,0.013,true
69,4,5,1,10,3,14,317,0.01,true
70,4,5,1,10,3,17,224,0.007,true
71,3,6,1,12,3,15,198,0.006,true
72,4,6,1,11,3,20,379,0.013,true
73,4,6,1,10,3,15,429,0.014,true
74,3,6,1,10,3,18,341,0.011,true
75,4,6,1,11,3,19,336,0.011,true
76,4,5,1,9,3,15,333,0.01,true
77,4,5,1,11,3,18,427,0.014,true
78,4,5,1,10,3,13,381,0.013,true
79,4,5,1,10,3,13,314,0.009,true
80,3,5,1,8,3,16,469,0.014,true
81,4,5,1,10,3,16,423,0.013,true
82,4,5,1,10,3,12,324,0.009,true
83,4,5,1,9,3,19,612,0.02,true
84,4,5,1,10,3,14,330,0.01,true
85,4,5,1,11,3,12,319,0.009,true
86,4,5,1,9,3,17,546,0.017,true
87,4,5,1,9,3,11,280,0.008,true
88,4,5,1,8,3,21,999,0.032,true
89,3,5,1,11,3,13,194,0.005,true
90,3,5,1,11,3,16,302,0.009,true
91,4,5,1,9,3,15,253,0.007,true
92,4,5,1,10,3,20,471,0.015,true
93,4,5,1,9,3,21,535,0.017,true
94,3,5,1,11,3,13,153,0.004,true
95,4,5,1,9,3,16,309,0.009,true
96,4,5,1,11,3,14,192,0.006,true
97,4,5,1,9,3,16,229,0.007,true
98,4,5,1,9,3,17,222,0.007,true
99,4,5,1,11,3,18,278,0.009,true
100,4,5,1,11,3,15,377,0.011,true
101,4,6,1,11,3,20,235,0.007,true
