Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result
0,2,6,1,16,1,11,391,0.003,true
1,1,6,1,18,3,1,60,0.001,true
2,2,6,1,18,3,27,398,0.011,true
3,2,6,1,19,3,30,364,0.01,true
4,2,6,1,19,3,22,277,0.008,true
5,2,6,1,15,3,21,235,0.006,true
6,2,6,1,17,3,14,166,0.004,true
7,2,6,1,16,3,16,309,0.008,true
8,2,6,1,16,3,16,200,0.005,true
9,2,6,1,17,3,18,272,0.007,true
10,3,6,1,15,3,25,675,0.02,true
11,3,6,1,15,3,20,570,0.016,true
12,3,6,1,16,3,30,938,0.028,true
13,3,6,1,13,3,27,694,0.022,true
14,4,6,1,15,3,29,1390,0.042,true
15,4,5,1,13,3,36,1198,0.038,true
16,4,5,1,13,3,28,887,0.028,true
17,4,5,1,13,3,32,932,0.029,true
18,4,5,1,13,3,35,2528,0.081,true
19,4,6,1,13,3,30,733,0.024,true
20,4,6,1,14,3,27,1799,0.053,true
21,4,5,1,13,3,26,1500,0.042,true
22,4,5,1,14,3,19,975,0.027,true
23,4,5,1,13,3,26,1305,0.036,true
24,4,5,1,13,3,21,1052,0.028,true
25,4,5,1,11,3,29,2114,0.058,true
26,4,5,1,12,3,20,849,0.023,true
27,4,5,1,12,3,27,1694,0.049,true
28,4,5,1,12,3,24,827,0.025,true
29,4,5,1,13,3,27,1046,0.031,true
30,4,5,1,14,3,22,868,0.024,true
31,4,5,1,15,3,24,973,0.027,true
32,4,5,1,13,3,24,1399,0.038,true
33,4,5,1,13,3,21,992,0.027,true
34,4,5,1,12,3,26,1056,0.032,true
35,4,5,1,14,3,24,404,0.012,true
36,4,5,1,16,3,17,337,0.01,true
37,4,6,1,16,3,25,630,0.02,true
38,4,6,1,13,3,27,760,0.024,true
39,4,5,1,13,3,26,1075,0.032,true
40,4,5,1,14,3,22,846,0.024,true
41,4,5,1,13,3,26,1129,0.033,true
42,4,5,1,12,3,24,1228,0.034,true
43,4,5,1,13,3,23,941,0.026,true
44,4,5,1,12,3,27,1436,0.039,true
45,4,5,1,12,3,28,1144,0.032,true
46,4,5,1,12,3,22,945,0.026,true
47,4,6,1,14,3,24,368,0.01,true
48,4,6,1,19,3,30,595,0.019,true
49,4,6,1,12,3,25,389,0.012,true
50,4,6,1,14,3,27,902,0.028,true
51,4,5,1,14,3,27,1311,0.039,true
52,4,5,1,14,3,21,990,0.027,true
53,4,5,1,9,3,27,1524,0.042,true
54,4,5,1,12,3,24,1115,0.03,true
55,4,5,1,13,3,28,1837,0.051,true
56,4,5,1,14,3,23,1077,0.029,true
57,4,5,1,12,3,32,1811,0.05,true
58,4,5,1,13,3,25,1379,0.038,true
59,4,5,1,12,3,27,939,0.027,true
60,4,5,1,15,3,26,1061,0.031,true
61,4,5,1,13,3,26,744,0.022,true
62,4,5,1,13,3,29,1454,0.044,true
63,4,5,1,12,3,26,681,0.021,true
64,4,5,1,14,3,27,858,0.026,true
65,4,5,1,11,3,28,902,0.029,true
66,4,5,1,13,3,29,1066,0.042,true
67,4,6,1,14,3,26,505,0.02,true
68,4,6,1,13,3,27,905,0.031,true
69,4,6,1,15,3,29,700,0.021,true
70,4,6,1,13,3,26,627,0.017,true
71,4,6,1,14,3,21,719,0.02,true
72,4,5,1,13,3,25,530,0.015,true
73,4,5,1,14,3,27,628,0.02,true
74,4,5,1,15,3,28,1103,0.036,true
75,3,6,1,12,3,25,909,0.028,true
76,3,6,1,15,3,27,996,0.032,true
77,3,6,1,15,3,33,590,0.017,true
78,3,6,1,14,3,16,442,0.012,true
79,3,6,1,16,3,27,673,0.019,true
80,3,6,1,15,3,22,484,0.014,true
81,3,6,1,15,3,33,831,0.024,true
82,3,6,1,15,3,25,637,0.018,true
83,3,6,1,14,3,24,778,0.022,true
84,3,6,1,16,3,27,622,0.019,true
85,3,6,1,14,3,25,321,0.009,true
86,3,6,1,16,3,21,702,0.021,true
87,3,6,1,14,3,24,409,0.011,true
88,3,6,1,16,3,28,845,0.025,true
89,3,6,1,14,3,22,444,0.013,true
90,3,6,1,18,3,20,203,0.006,true
91,3,6,1,14,3,19,259,0.006,true
92,3,6,1,15,3,23,672,0.02,true
93,3,6,1,16,3,28,604,0.018,true
94,3,6,1,16,3,28,420,0.012,true
95,3,6,1,16,3,29,594,0.016,true
96,3,6,1,15,3,29,631,0.019,true
97,3,6,1,16,3,18,525,0.016,true
98,3,6,1,15,3,16,482,0.013,true
99,3,6,1,16,3,18,362,0.01,true
100,3,6,1,14,3,24,372,0.01,true
101,3,6,1,15,3,14,469,0.014,true
102,3,6,1,14,3,16,467,0.014,true
103,3,6,1,17,3,25,510,0.017,true
104,3,6,1,15,3,27,450,0.013,true
105,3,6,1,18,3,15,538,0.016,true
106,3,6,1,16,3,21,490,0.015,true
107,3,6,1,15,3,22,667,0.02,true
108,3,6,1,15,2,24,346,0.007,true
109,3,6,1,15,2,16,647,0.013,true
110,3,6,1,14,2,24,567,0.011,true
111,3,6,1,15,2,22,515,0.01,true
112,3,6,1,16,2,22,667,0.013,true
113,3,6,1,14,2,24,385,0.007,true
114,3,6,1,16,2,24,491,0.01,true
115,3,6,1,15,2,15,558,0.011,true
116,3,6,1,15,2,20,469,0.009,true
117,3,6,1,16,2,28,593,0.012,true
118,3,6,1,15,2,20,648,0.013,true
119,3,6,1,17,2,30,562,0.012,true
120,3,6,1,16,2,17,453,0.009,true
121,3,6,1,16,2,21,507,0.009,true
122,3,6,1,15,2,23,878,0.017,true
123,3,6,1,17,2,21,331,0.007,true
124,3,6,1,13,2,20,558,0.01,true
125,3,6,1,14,2,19,594,0.013,true
126,3,6,1,16,2,21,386,0.007,true
127,3,6,1,16,2,20,331,0.006,true
128,3,6,1,14,2,23,515,0.01,true
129,3,6,1,17,2,20,481,0.009,true
130,3,6,1,14,2,22,606,0.013,true
131,3,6,1,15,2,26,452,0.009,true
132,3,6,1,15,2,17,601,0.012,true
133,3,6,1,16,2,21,610,0.012,true
134,3,6,1,15,2,29,680,0.013,true
135,3,6,1,15,2,24,524,0.01,true
