Window,Num threads,Num Variables,Num locks,Num unique good writes,Estimate Cost,Estimate Time Taken,Num mmaps,Max stack size,Max seen size,Node explored,Node seen before,Time taken (sec),Window result
0,3,25,1,27,969.88,0.246,1,63,83797,83798,77373,1.845,true
1,1,16,1,23,2424,0.442,24,1,100,2424,0,0.477,true
2,3,25,1,34,79709.8,0.362,24,83,39688,952536,61203,24.458,true
3,2,18,1,24,1365.12,0.123,24,18,1393,33456,993,0.754,true
4,1,18,1,23,2424,0.363,24,1,100,2424,0,0.397,true
5,2,22,1,25,18971.5,0.368,24,50,2919,70080,2417,1.728,true
6,2,22,1,27,37646.4,0.361,24,74,3465,83184,2895,1.985,true
7,2,22,1,27,13879,0.263,24,54,3112,74712,2568,1.726,true
8,2,25,1,26,5008.32,0.178,24,41,2531,60768,2193,1.362,true
9,2,25,1,30,7753.92,0.196,24,41,2981,71568,2681,1.611,true
10,2,23,1,25,82944,0.369,24,71,4551,109248,4451,2.588,true
11,1,11,0,10,2424,0.358,24,1,100,2424,0,0.39,true
12,1,7,0,7,2424,0.352,24,1,100,2424,0,0.385,true
13,2,11,0,11,6436.8,0.355,24,21,1801,43248,1701,1.181,true
14,2,25,1,29,12645.8,0.209,24,48,3033,72816,2769,1.669,true
15,2,25,1,30,85346.2,0.351,24,72,3763,90336,3410,2.139,true
16,1,15,1,17,1032,0.161,24,1,42,1032,0,0.176,true
