Window,Num threads,Num Variables,Num locks,Num unique good writes,Estimate Cost,Estimate Time Taken,Num mmaps,Max stack size,Max seen size,Node explored,Node seen before,Time taken (sec),Window result
0,3,25,1,31,2114.76,0.489,1,63,163845,163846,138629,3.743,true
1,3,25,1,40,3.36607e+06,0.773,24,122,256328,6151896,387751,167.177,true
2,2,25,1,36,254896,0.61,24,90,7511,180288,5923,4.369,true
3,2,25,1,35,117178,0.606,24,75,5880,141144,4763,3.538,true
4,3,25,1,37,99541.4,0.366,24,72,72375,1737024,127286,50.178,true
5,2,25,1,34,1.51511e+06,0.611,24,125,6850,164424,5995,4.11,true
6,3,25,1,30,1.28394e+07,0.608,24,169,288633,6927216,563761,206.106,true
7,1,12,0,12,3864,0.563,24,1,160,3864,0,0.617,true
8,2,21,1,21,904252,0.58,24,101,11001,264048,10841,6.282,true
9,3,25,1,35,2.3549e+06,0.524,24,160,266048,6385176,487007,181.887,true
10,1,15,1,17,1032,0.156,24,1,42,1032,0,0.172,true
