Window,Num threads,Num Variables,Num locks,Num unique good writes,Estimate Cost,Estimate Time Taken,Num mmaps,Max stack size,Max seen size,Node explored,Node seen before,Time taken (sec),Window result
0,3,25,1,33,2597.11,0.537,1,63,185047,185048,150831,3.914,true
1,3,25,1,41,813578,0.814,24,120,234491,5627808,335956,138.602,true
2,3,25,1,39,91065.4,0.612,24,48,50607,1214592,72884,30.258,true
3,2,25,1,38,1.02873e+06,0.529,24,107,7636,183288,6445,4.138,true
4,3,25,1,38,176825,0.398,24,114,180960,4343064,309041,116.104,true
5,3,25,1,38,7.7424e+06,0.63,24,179,256976,6167448,480492,170.764,true
6,1,16,0,15,4344,0.597,24,1,180,4344,0,0.655,true
7,2,22,1,22,1.23672e+06,0.613,24,101,13001,312048,12821,7.031,true
8,3,25,1,37,1.99435e+07,0.624,24,186,312877,7509072,574666,204.919,true
9,1,11,1,11,552,0.085,24,1,22,552,0,0.093,true
