Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result
0,3,6,1,35,1,21,1290,0.012,true
1,2,6,1,37,3,62,917,0.027,true
2,2,6,1,31,3,42,561,0.016,true
3,2,6,1,31,3,37,641,0.02,true
4,3,6,1,31,3,57,1645,0.053,true
5,3,6,1,28,3,60,2032,0.069,true
6,4,6,1,27,3,78,10311,0.358,true
7,4,5,1,25,3,84,8772,0.284,true
8,4,6,1,24,3,67,8519,0.264,true
9,4,5,1,24,3,60,15362,0.47,true
10,4,5,1,24,3,64,16987,0.531,true
11,4,5,1,24,3,60,14717,0.461,true
12,4,5,1,24,3,65,7068,0.216,true
13,4,5,1,27,3,62,10997,0.342,true
14,4,5,1,23,3,62,6918,0.211,true
15,4,5,1,29,3,49,3767,0.109,true
16,4,6,1,25,3,64,7625,0.237,true
17,4,5,1,24,3,61,16288,0.545,true
18,4,5,1,22,3,63,14804,0.522,true
19,4,5,1,24,3,64,13447,0.441,true
20,4,6,1,33,3,60,1990,0.07,true
21,4,6,1,26,3,63,4331,0.144,true
22,4,5,1,22,3,62,20204,0.716,true
23,4,5,1,24,3,64,11924,0.4,true
24,4,5,1,27,3,64,15696,0.515,true
25,4,5,1,25,3,62,6454,0.194,true
26,4,5,1,23,3,67,8252,0.254,true
27,4,5,1,21,3,63,8520,0.266,true
28,4,6,1,23,3,71,9344,0.301,true
29,4,6,1,27,3,57,3034,0.092,true
30,4,6,1,27,3,61,4092,0.122,true
31,4,5,1,26,3,60,4078,0.126,true
32,4,6,1,28,3,58,2794,0.093,true
33,3,6,1,31,3,61,2017,0.068,true
34,3,6,1,28,3,64,1994,0.063,true
35,3,6,1,28,3,61,2174,0.065,true
36,3,6,1,32,3,56,1183,0.036,true
37,3,6,1,27,3,55,1647,0.049,true
38,3,6,1,33,3,53,1469,0.042,true
39,3,6,1,30,3,47,1290,0.044,true
40,3,6,1,30,3,53,1644,0.055,true
41,3,6,1,30,3,57,2143,0.067,true
42,3,6,1,30,3,45,1482,0.045,true
43,3,6,1,27,3,45,1812,0.057,true
44,3,6,1,32,3,53,1494,0.047,true
45,3,6,1,30,3,46,1506,0.046,true
46,3,6,1,28,3,54,1506,0.047,true
47,3,6,1,28,3,57,1464,0.044,true
48,3,6,1,31,3,51,1851,0.056,true
49,3,6,1,29,3,45,1678,0.052,true
50,3,6,1,28,3,52,1442,0.044,true
51,3,6,1,33,3,58,1416,0.041,true
52,3,6,1,30,3,51,2004,0.056,true
53,3,6,1,28,3,43,1485,0.048,true
54,3,6,1,32,3,45,1720,0.057,true
55,3,6,1,28,3,44,1174,0.037,true
56,3,6,1,29,3,57,1962,0.061,true
57,3,6,1,32,3,47,2215,0.065,true
58,3,6,1,26,3,57,2652,0.08,true
59,3,6,1,30,3,47,822,0.023,true
60,2,6,1,34,3,40,619,0.016,true
61,2,6,1,32,3,42,583,0.015,true
62,2,6,1,35,3,31,709,0.018,true
63,2,6,1,34,3,36,561,0.014,true
64,2,6,1,32,3,33,530,0.014,true
65,2,6,1,31,3,38,648,0.017,true
66,2,6,1,31,3,33,533,0.015,true
67,2,6,1,33,3,33,600,0.017,true
68,2,6,1,34,3,48,577,0.017,true
69,2,6,1,33,3,36,536,0.016,true
70,2,6,1,22,3,14,253,0.007,true
