Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result
0,2,6,1,15,1,11,361,0.003,true
1,1,6,1,15,3,1,50,0.001,true
2,2,6,1,16,3,16,243,0.007,true
3,2,6,1,15,3,21,259,0.008,true
4,2,6,1,16,3,23,254,0.007,true
5,2,6,1,16,3,17,190,0.005,true
6,2,6,1,13,3,17,183,0.005,true
7,2,6,1,14,3,13,157,0.004,true
8,2,6,1,15,3,14,256,0.007,true
9,2,6,1,14,3,16,250,0.007,true
10,2,6,1,15,3,11,112,0.002,true
11,2,6,1,16,3,16,190,0.005,true
12,3,6,1,14,3,18,476,0.015,true
13,3,6,1,13,3,19,293,0.009,true
14,3,6,1,15,3,22,541,0.019,true
15,3,6,1,13,3,24,463,0.014,true
16,3,6,1,12,3,20,745,0.025,true
17,4,6,1,14,3,26,895,0.031,true
18,4,5,1,12,3,22,382,0.012,true
19,4,5,1,11,3,30,871,0.029,true
20,4,5,1,10,3,25,764,0.026,true
21,4,5,1,11,3,32,856,0.029,true
22,4,6,1,13,3,22,232,0.007,true
23,4,5,1,12,3,23,530,0.017,true
24,4,6,1,12,3,21,1175,0.036,true
25,4,5,1,11,3,21,1018,0.033,true
26,4,5,1,11,3,24,850,0.028,true
27,4,5,1,13,3,17,549,0.017,true
28,4,5,1,13,3,19,784,0.024,true
29,4,5,1,12,3,17,635,0.019,true
30,4,5,1,10,3,22,1311,0.042,true
31,4,5,1,11,3,20,792,0.025,true
32,4,5,1,10,3,20,1019,0.033,true
33,4,5,1,11,3,19,625,0.02,true
34,4,5,1,11,3,23,846,0.027,true
35,4,5,1,12,3,20,565,0.019,true
36,4,5,1,13,3,17,563,0.017,true
37,4,5,1,12,3,17,635,0.02,true
38,4,5,1,11,3,22,813,0.026,true
39,4,5,1,12,3,20,754,0.024,true
40,4,5,1,12,3,22,671,0.022,true
41,4,5,1,12,3,22,496,0.016,true
42,3,5,1,12,3,18,284,0.009,true
43,2,5,1,15,3,10,141,0.004,true
44,4,5,1,12,3,19,590,0.018,true
45,4,6,1,11,3,20,364,0.012,true
46,4,6,1,12,3,25,1478,0.051,true
47,4,5,1,12,3,22,714,0.023,true
