Window,Num threads,Num Variables,Num locks,Num unique good writes,Estimate Cost,Estimate Time Taken,Num mmaps,Max stack size,Max seen size,Node explored,Node seen before,Time taken (sec),Window result
0,2,25,0,15,41,0.134,1,2,728,729,4,0.146,true
1,2,17,1,18,2191,0.147,25,20,601,15050,561,0.439,true
2,1,7,1,10,1025,0.149,25,1,40,1025,0,0.166,true
3,1,7,1,11,1025,0.147,25,1,40,1025,0,0.164,true
4,1,7,1,11,1025,0.147,25,1,40,1025,0,0.162,true
5,3,25,1,28,3439.5,0.15,25,36,4165,104150,7459,2.75,true
6,1,6,1,11,1025,0.147,25,1,40,1025,0,0.163,true
7,1,7,1,11,1025,0.156,25,1,40,1025,0,0.171,true
8,1,8,1,11,1025,0.146,25,1,40,1025,0,0.161,true
9,2,9,1,11,1725.25,0.113,25,21,442,11075,312,0.316,true
10,1,9,1,10,1025,0.145,25,1,40,1025,0,0.16,true
11,1,8,1,12,1025,0.145,25,1,40,1025,0,0.159,true
12,1,7,1,12,1025,0.145,25,1,40,1025,0,0.16,true
13,2,10,1,13,2191,0.146,25,13,459,11500,359,0.36,true
14,1,9,1,10,1025,0.147,25,1,40,1025,0,0.162,true
15,1,8,1,10,1025,0.145,25,1,40,1025,0,0.16,true
16,2,12,1,15,2202,0.146,25,21,394,9875,350,0.335,true
17,1,9,1,12,1025,0.146,25,1,40,1025,0,0.162,true
18,1,8,1,11,1025,0.149,25,1,40,1025,0,0.164,true
19,2,10,1,12,1357.75,0.149,25,10,351,8800,311,0.318,true
20,1,10,1,9,1025,0.146,25,1,40,1025,0,0.161,true
21,2,12,1,13,1025,0.145,25,3,79,2000,39,0.178,true
22,1,11,1,14,1025,0.144,25,1,40,1025,0,0.159,true
23,1,9,1,12,1025,0.145,25,1,40,1025,0,0.161,true
24,2,16,1,16,3247,0.149,25,30,640,16025,598,0.462,true
25,1,10,1,13,1025,0.146,25,1,40,1025,0,0.161,true
26,2,13,1,12,3203,0.15,25,31,751,18800,711,0.51,true
27,1,5,0,5,1025,0.143,25,1,40,1025,0,0.157,true
28,1,4,0,4,1025,0.142,25,1,40,1025,0,0.156,true
29,1,5,0,5,1025,0.143,25,1,40,1025,0,0.158,true
30,1,3,0,3,1025,0.145,25,1,40,1025,0,0.159,true
31,1,3,0,3,1025,0.144,25,1,40,1025,0,0.158,true
32,1,4,0,4,1025,0.142,25,1,40,1025,0,0.156,true
33,1,3,0,3,1025,0.142,25,1,40,1025,0,0.156,true
34,2,8,0,8,2259.75,0.144,25,21,601,15050,561,0.425,true
35,1,9,1,10,1025,0.146,25,1,40,1025,0,0.161,true
36,2,16,1,17,1591.5,0.148,25,13,409,10250,369,0.343,true
37,1,10,1,12,1025,0.147,25,1,40,1025,0,0.162,true
38,2,15,1,16,1033.25,0.146,25,5,153,3850,113,0.216,true
39,1,11,1,14,1025,0.148,25,1,40,1025,0,0.163,true
40,1,14,1,16,1025,0.146,25,1,40,1025,0,0.161,true
41,1,2,0,2,75,0.017,25,1,2,75,0,0.019,true
