Window,Num threads,Num Variables,Num locks,Num unique good writes,Max stack size,Max seen size,Num mmaps,Time taken (sec),Window result
0,4,6,1,19,11,1541,1,0.02,true
1,2,3,1,20,3,199,1,0.002,true
2,1,2,1,20,1,100,1,0,true
3,1,2,1,18,1,100,1,0,true
4,1,2,1,19,1,100,1,0,true
5,1,2,1,18,1,100,1,0,true
6,1,2,1,20,1,100,1,0,true
7,1,2,1,19,1,100,1,0,true
8,1,2,1,16,1,100,1,0,true
9,1,2,1,19,1,100,1,0,true
10,1,2,1,20,1,100,1,0,true
11,1,2,1,19,1,100,1,0,true
12,1,2,1,17,1,100,1,0,true
13,1,2,1,18,1,100,1,0,true
14,1,2,1,18,1,100,1,0.001,true
15,1,2,1,19,1,100,1,0,true
16,1,2,1,18,1,100,1,0,true
17,2,4,1,20,12,207,1,0.002,true
18,2,4,1,19,29,318,1,0.003,true
19,2,4,1,19,28,327,1,0.003,true
20,1,3,1,24,1,100,1,0,true
21,2,4,1,21,5,174,1,0.001,true
22,1,3,1,20,1,100,1,0.001,true
23,2,4,1,21,10,254,1,0.002,true
24,2,4,1,21,5,204,1,0.002,true
25,2,4,1,22,13,288,1,0.002,true
26,1,3,1,21,1,100,1,0,true
27,1,3,1,20,1,100,1,0,true
28,1,3,1,22,1,100,1,0,true
29,1,3,1,22,1,100,1,0,true
30,1,3,1,20,1,100,1,0,true
31,1,3,1,23,1,100,1,0,true
32,1,3,1,23,1,100,1,0,true
33,1,3,1,20,1,100,1,0,true
34,1,3,1,20,1,100,1,0.001,true
35,1,3,1,19,1,100,1,0,true
36,1,3,1,20,1,100,1,0,true
37,1,3,1,22,1,100,1,0.001,true
38,1,3,1,16,1,100,1,0,true
39,1,3,1,23,1,100,1,0,true
40,1,3,1,19,1,100,1,0,true
41,1,3,1,22,1,100,1,0,true
42,1,3,1,20,1,100,1,0,true
43,1,3,1,20,1,100,1,0,true
44,1,3,1,19,1,100,1,0,true
45,1,3,1,19,1,100,1,0,true
46,1,3,1,23,1,100,1,0,true
47,1,3,1,22,1,100,1,0,true
48,1,3,1,21,1,100,1,0,true
49,1,3,1,21,1,100,1,0,true
50,1,3,1,20,1,100,1,0,true
51,1,3,1,21,1,100,1,0,true
52,1,3,1,20,1,100,1,0.001,true
53,1,3,1,19,1,100,1,0,true
54,1,3,1,22,1,100,1,0,true
55,1,3,1,23,1,100,1,0.001,true
56,1,3,1,23,1,100,1,0,true
57,1,3,1,21,1,100,1,0,true
58,1,3,1,20,1,100,1,0,true
59,1,3,1,21,1,100,1,0,true
60,1,3,1,21,1,100,1,0,true
61,1,3,1,22,1,100,1,0,true
62,1,3,1,17,1,100,1,0,true
63,2,3,1,21,3,122,1,0.001,true
64,2,4,1,21,9,247,1,0.002,true
65,2,4,1,23,9,225,1,0.002,true
66,3,4,1,22,11,387,1,0.004,true
67,3,5,1,20,10,339,1,0.003,true
68,2,4,1,20,13,255,1,0.002,true
69,2,4,1,22,13,271,1,0.002,true
70,2,4,1,22,14,213,1,0.002,true
71,2,4,1,23,27,306,1,0.003,true
72,2,4,1,21,21,327,1,0.003,true
73,2,4,1,24,26,326,1,0.003,true
74,2,4,1,20,17,287,1,0.002,true
75,2,4,1,22,17,318,1,0.003,true
76,2,4,1,21,16,313,1,0.003,true
77,2,4,1,21,10,194,1,0.002,true
78,2,4,1,21,18,270,1,0.002,true
79,2,4,1,22,20,294,1,0.003,true
80,2,4,1,19,15,327,1,0.003,true
81,2,4,1,22,18,293,1,0.002,true
82,2,4,1,22,6,174,1,0.001,true
83,2,4,1,20,19,266,1,0.002,true
84,2,4,1,20,24,330,1,0.003,true
85,2,4,1,21,21,321,1,0.003,true
86,2,4,1,20,11,316,1,0.003,true
87,2,4,1,22,16,310,1,0.003,true
88,2,4,1,21,17,387,1,0.004,true
89,2,4,1,21,21,327,1,0.003,true
90,2,4,1,19,16,326,1,0.003,true
91,2,4,1,22,23,308,1,0.003,true
92,2,4,1,23,23,319,1,0.003,true
93,2,4,1,22,10,318,1,0.003,true
94,2,4,1,18,18,239,1,0.002,true
95,2,4,1,23,23,332,1,0.003,true
96,2,4,1,23,19,274,1,0.002,true
97,2,4,1,21,17,255,1,0.002,true
98,2,4,1,19,13,258,1,0.002,true
99,2,4,1,23,18,288,1,0.003,true
100,2,4,1,20,17,319,1,0.003,true
101,4,5,1,23,26,1170,1,0.013,true
102,2,3,1,14,3,104,1,0,true
