Window,Num threads,Num Variables,Num locks,Num unique good writes,Estimate Cost,Estimate Time Taken,Num mmaps,Max stack size,Max seen size,Node explored,Node seen before,Time taken (sec),Window result
0,3,25,1,32,2457.74,0.48,1,63,174824,174825,145264,3.694,true
1,3,25,1,41,1.68867e+06,0.778,24,127,269657,6471792,397595,165.647,true
2,2,25,1,37,95004.5,0.584,24,67,6268,150456,4798,3.302,true
3,3,25,1,36,66710.4,0.35,24,76,130184,3124440,214196,82.432,true
4,2,25,1,34,1.63496e+06,0.586,24,124,7850,188424,6626,4.275,true
5,3,25,1,37,2.10498e+06,0.506,24,133,236124,5667000,420654,154.027,true
6,2,25,1,27,520182,0.584,24,90,10932,262392,10752,6.112,true
7,1,11,0,11,4104,0.58,24,1,170,4104,0,0.635,true
8,3,25,1,32,2.35394e+07,0.565,24,199,429102,10298472,814707,293.805,true
9,2,25,1,31,47887.7,0.389,24,53,3683,88416,3464,2.125,true
