Window,Num threads,Num Variables,Num locks,Num unique good writes,Estimate Cost,Estimate Time Taken,Num mmaps,Max stack size,Max seen size,Node explored,Node seen before,Time taken (sec),Window result
0,2,20,0,0,21,0.056,1,2,229,230,0,0.058,true
1,1,20,0,15,420,0.072,20,1,20,420,0,0.078,true
2,2,14,1,12,640,0.076,20,20,201,4040,181,0.149,true
3,1,4,1,6,420,0.074,20,1,20,420,0,0.081,true
4,1,5,1,7,420,0.077,20,1,20,420,0,0.083,true
5,1,4,1,5,420,0.075,20,1,20,420,0,0.081,true
6,1,4,1,6,420,0.077,20,1,20,420,0,0.084,true
7,1,5,1,6,420,0.077,20,1,20,420,0,0.083,true
8,1,4,1,6,420,0.075,20,1,20,420,0,0.081,true
9,1,5,1,7,420,0.075,20,1,20,420,0,0.081,true
10,2,11,1,11,633.4,0.077,20,17,193,3880,173,0.148,true
11,2,19,0,19,435.4,0.073,20,7,103,2080,83,0.109,true
12,1,4,1,6,420,0.075,20,1,20,420,0,0.082,true
13,1,4,1,5,420,0.077,20,1,20,420,0,0.084,true
14,1,4,1,6,420,0.077,20,1,20,420,0,0.083,true
15,1,4,1,6,420,0.077,20,1,20,420,0,0.083,true
16,1,6,1,6,420,0.075,20,1,20,420,0,0.081,true
17,1,4,1,5,420,0.075,20,1,20,420,0,0.082,true
18,1,5,1,6,420,0.078,20,1,20,420,0,0.084,true
19,2,6,1,7,525.6,0.075,20,9,78,1580,54,0.103,true
20,1,5,1,5,420,0.074,20,1,20,420,0,0.081,true
21,1,5,1,5,420,0.076,20,1,20,420,0,0.083,true
22,1,4,1,6,420,0.076,20,1,20,420,0,0.083,true
23,1,6,1,8,420,0.077,20,1,20,420,0,0.083,true
24,1,4,1,6,420,0.077,20,1,20,420,0,0.084,true
25,1,4,1,6,420,0.077,20,1,20,420,0,0.083,true
26,2,6,1,8,591.6,0.076,20,13,139,2800,99,0.125,true
27,1,4,1,5,420,0.074,20,1,20,420,0,0.081,true
28,1,4,1,6,420,0.076,20,1,20,420,0,0.083,true
29,1,5,1,5,420,0.076,20,1,20,420,0,0.083,true
30,1,4,1,6,420,0.077,20,1,20,420,0,0.084,true
31,1,5,1,7,420,0.075,20,1,20,420,0,0.082,true
32,2,8,1,9,640,0.076,20,18,154,3100,130,0.133,true
33,1,5,1,6,420,0.074,20,1,20,420,0,0.081,true
34,1,5,1,6,420,0.076,20,1,20,420,0,0.083,true
35,1,5,1,6,420,0.077,20,1,20,420,0,0.083,true
36,1,4,1,6,420,0.074,20,1,20,420,0,0.081,true
37,1,4,1,6,420,0.076,20,1,20,420,0,0.082,true
38,2,6,1,6,505.8,0.077,20,10,151,3040,131,0.139,true
39,1,5,1,6,420,0.083,20,1,20,420,0,0.09,true
40,1,7,1,7,420,0.075,20,1,20,420,0,0.082,true
41,1,5,1,6,420,0.079,20,1,20,420,0,0.086,true
42,1,5,1,5,420,0.076,20,1,20,420,0,0.083,true
43,2,8,1,9,399,0.077,19,3,39,760,19,0.09,true
44,1,5,1,6,399,0.074,19,1,20,399,0,0.08,true
45,1,7,1,8,399,0.074,19,1,20,399,0,0.08,true
46,1,6,1,7,399,0.075,19,1,20,399,0,0.082,true
47,1,5,1,7,399,0.074,19,1,20,399,0,0.08,true
48,2,11,1,10,486.78,0.077,19,11,151,2888,131,0.129,true
49,1,6,1,7,399,0.074,19,1,20,399,0,0.08,true
50,1,5,1,6,399,0.074,19,1,20,399,0,0.081,true
51,1,6,1,7,399,0.074,19,1,20,399,0,0.08,true
52,1,7,1,6,399,0.074,19,1,20,399,0,0.081,true
53,2,6,0,6,480.51,0.078,19,10,151,2888,131,0.129,true
54,1,3,0,3,399,0.072,19,1,20,399,0,0.078,true
55,1,3,0,3,399,0.075,19,1,20,399,0,0.081,true
56,1,3,0,3,399,0.074,19,1,20,399,0,0.08,true
57,1,2,0,2,399,0.075,19,1,20,399,0,0.081,true
58,1,4,0,4,399,0.075,19,1,20,399,0,0.081,true
59,1,2,0,2,399,0.074,19,1,20,399,0,0.08,true
60,1,2,0,2,399,0.079,19,1,20,399,0,0.085,true
61,1,2,0,2,399,0.074,19,1,20,399,0,0.08,true
62,1,2,0,2,399,0.075,19,1,20,399,0,0.082,true
63,1,2,0,2,399,0.075,19,1,20,399,0,0.08,true
64,1,3,0,3,399,0.075,19,1,20,399,0,0.081,true
65,1,2,0,2,399,0.075,19,1,20,399,0,0.081,true
66,1,2,0,2,399,0.074,19,1,20,399,0,0.079,true
67,1,2,0,2,399,0.074,19,1,20,399,0,0.079,true
68,1,2,0,2,399,0.075,19,1,20,399,0,0.08,true
69,2,7,0,7,608,0.076,19,20,201,3838,181,0.145,true
70,1,5,1,6,399,0.076,19,1,20,399,0,0.082,true
71,1,5,1,5,399,0.074,19,1,20,399,0,0.08,true
72,1,5,1,7,399,0.074,19,1,20,399,0,0.08,true
73,2,12,0,12,541.12,0.075,19,13,169,3230,149,0.133,true
74,1,6,1,6,399,0.076,19,1,20,399,0,0.082,true
75,1,5,1,6,399,0.076,19,1,20,399,0,0.082,true
76,1,4,1,5,399,0.076,19,1,20,399,0,0.082,true
77,2,12,0,12,399,0.073,19,5,73,1406,53,0.097,true
78,1,7,1,8,399,0.073,19,1,20,399,0,0.079,true
79,1,6,1,7,399,0.074,19,1,20,399,0,0.08,true
80,1,5,1,6,399,0.076,19,1,20,399,0,0.082,true
81,1,10,1,10,399,0.076,19,1,20,399,0,0.081,true
82,1,2,0,2,57,0.015,19,1,2,57,0,0.016,true
