Window,Num threads,Num Variables,Num locks,Num unique good writes,Estimate Cost,Estimate Time Taken,Num mmaps,Max stack size,Max seen size,Node explored,Node seen before,Time taken (sec),Window result
0,3,25,1,22,95.27,0.111,1,20,18159,18160,17392,0.456,true
1,1,9,1,14,1464,0.235,24,1,60,1464,0,0.256,true
2,1,10,1,17,1464,0.22,24,1,60,1464,0,0.241,true
3,3,25,1,32,12317,0.226,24,61,10504,252120,19009,6.653,true
4,1,10,1,17,1464,0.211,24,1,60,1464,0,0.231,true
5,1,10,1,15,1464,0.207,24,1,60,1464,0,0.228,true
6,2,12,1,16,7400.64,0.209,24,33,1096,26328,814,0.668,true
7,1,12,1,17,1464,0.208,24,1,60,1464,0,0.229,true
8,2,12,1,19,2237.52,0.21,24,13,554,13320,390,0.444,true
9,1,13,1,15,1464,0.208,24,1,60,1464,0,0.229,true
10,2,14,1,17,578.4,0.076,24,18,665,15984,535,0.362,true
11,1,13,1,18,1464,0.209,24,1,60,1464,0,0.229,true
12,2,14,1,17,1190.88,0.111,24,23,890,21384,694,0.489,true
13,1,14,1,15,1464,0.209,24,1,60,1464,0,0.23,true
14,2,17,1,19,4858.56,0.162,24,38,1237,29712,1073,0.699,true
15,1,14,1,18,1464,0.208,24,1,60,1464,0,0.23,true
16,2,20,1,20,5550.72,0.212,24,30,1120,26904,1058,0.705,true
17,2,17,1,19,5856.96,0.213,24,31,1351,32448,1291,0.809,true
18,1,8,0,8,1464,0.209,24,1,60,1464,0,0.229,true
19,1,6,0,6,1464,0.216,24,1,60,1464,0,0.236,true
20,1,4,0,4,1464,0.213,24,1,60,1464,0,0.233,true
21,1,5,0,5,1464,0.218,24,1,60,1464,0,0.237,true
22,1,4,0,4,1464,0.218,24,1,60,1464,0,0.238,true
23,2,15,1,16,3491.52,0.219,24,20,1001,24048,941,0.694,true
24,2,21,1,22,13039.9,0.22,24,44,1573,37776,1449,0.966,true
25,2,19,1,19,1477.2,0.218,24,5,233,5616,173,0.323,true
26,1,14,1,18,1464,0.22,24,1,60,1464,0,0.241,true
27,1,11,1,11,552,0.087,24,1,22,552,0,0.096,true
